Year,Forecast Category,Province,Sector,Use of Funds,Current dollars,Current dollars per capita,Constant 1997 dollars,Constant 1997 dollars per capita
2018,..,Manitoba,Public,Hospitals,2571042353,1900,,
2019,..,Manitoba,Public,Hospitals,2573819548,1879,,
2020,f,Manitoba,Public,Hospitals,2626364173,1904,,
2021,f,Manitoba,Public,Hospitals,2632177925,1888,,
1975,..,Manitoba,Public,Other Institutions,50856356,50,,
1976,..,Manitoba,Public,Other Institutions,65501391,63,,
1977,..,Manitoba,Public,Other Institutions,74627610,72,,
1978,..,Manitoba,Public,Other Institutions,80943760,78,,
1979,..,Manitoba,Public,Other Institutions,88857439,86,,
1980,..,Manitoba,Public,Other Institutions,101191288,98,,
1981,..,Manitoba,Public,Other Institutions,120936750,117,,
1982,..,Manitoba,Public,Other Institutions,144947500,139,,
1983,..,Manitoba,Public,Other Institutions,166043500,157,,
1984,..,Manitoba,Public,Other Institutions,178044250,166,,
1985,..,Manitoba,Public,Other Institutions,189352750,175,,
1986,..,Manitoba,Public,Other Institutions,193022389,177,,
1987,..,Manitoba,Public,Other Institutions,203878959,186,,
1988,..,Manitoba,Public,Other Institutions,223321765,203,,
1989,..,Manitoba,Public,Other Institutions,241486638,219,,
1990,..,Manitoba,Public,Other Institutions,264260506,239,,
1991,..,Manitoba,Public,Other Institutions,273895649,247,,
1992,..,Manitoba,Public,Other Institutions,291716175,262,,
1993,..,Manitoba,Public,Other Institutions,290731229,260,,
1994,..,Manitoba,Public,Other Institutions,296856506,264,,
1995,..,Manitoba,Public,Other Institutions,303964409,269,,
1996,..,Manitoba,Public,Other Institutions,307898439,271,,
1997,..,Manitoba,Public,Other Institutions,307526847,271,,
1998,..,Manitoba,Public,Other Institutions,314999848,277,,
1999,..,Manitoba,Public,Other Institutions,361202224,316,,
2000,..,Manitoba,Public,Other Institutions,409359629,357,,
2001,..,Manitoba,Public,Other Institutions,448130307,389,,
2002,..,Manitoba,Public,Other Institutions,475222272,411,,
2003,..,Manitoba,Public,Other Institutions,498048810,428,,
2004,..,Manitoba,Public,Other Institutions,521459237,444,,
2005,..,Manitoba,Public,Other Institutions,556882912,473,,
2006,..,Manitoba,Public,Other Institutions,578451314,489,,
2007,..,Manitoba,Public,Other Institutions,610440845,513,,
2008,..,Manitoba,Public,Other Institutions,658432679,550,,
2009,..,Manitoba,Public,Other Institutions,682384665,565,,
2010,..,Manitoba,Public,Other Institutions,703237919,576,,
2011,..,Manitoba,Public,Other Institutions,724975514,588,,
2012,..,Manitoba,Public,Other Institutions,775434716,620,,
2013,..,Manitoba,Public,Other Institutions,814246858,644,,
2014,..,Manitoba,Public,Other Institutions,862608620,674,,
2015,..,Manitoba,Public,Other Institutions,888558798,688,,
2016,..,Manitoba,Public,Other Institutions,915000918,696,,
2017,..,Manitoba,Public,Other Institutions,936429344,702,,
2018,..,Manitoba,Public,Other Institutions,958073591,708,,
2019,..,Manitoba,Public,Other Institutions,975754927,712,,
2020,f,Manitoba,Public,Other Institutions,997926188,724,,
2021,f,Manitoba,Public,Other Institutions,1016818155,729,,
1975,..,Manitoba,Public,Physicians,66621750,65,,
1976,..,Manitoba,Public,Physicians,75105750,73,,
1977,..,Manitoba,Public,Physicians,81201500,78,,
1978,..,Manitoba,Public,Physicians,93361500,90,,
1979,..,Manitoba,Public,Physicians,105964500,102,,
1980,..,Manitoba,Public,Physicians,117644500,114,,
1981,..,Manitoba,Public,Physicians,140954250,136,,
1982,..,Manitoba,Public,Physicians,159830250,153,,
1983,..,Manitoba,Public,Physicians,172504500,163,,
1984,..,Manitoba,Public,Physicians,182955750,171,,
1985,..,Manitoba,Public,Physicians,194022500,179,,
1986,..,Manitoba,Public,Physicians,212933719,195,,
1987,..,Manitoba,Public,Physicians,228242437,208,,
1988,..,Manitoba,Public,Physicians,232068839,211,,
1989,..,Manitoba,Public,Physicians,246590616,223,,
1990,..,Manitoba,Public,Physicians,256853504,232,,
1991,..,Manitoba,Public,Physicians,284168738,256,,
1992,..,Manitoba,Public,Physicians,292331788,263,,
1993,..,Manitoba,Public,Physicians,293301040,262,,
1994,..,Manitoba,Public,Physicians,287126963,256,,
1995,..,Manitoba,Public,Physicians,281472308,249,,
1996,..,Manitoba,Public,Physicians,329254409,290,,
1997,..,Manitoba,Public,Physicians,358921837,316,,
1998,..,Manitoba,Public,Physicians,391785540,344,,
1999,..,Manitoba,Public,Physicians,436397373,382,,
2000,..,Manitoba,Public,Physicians,481041622,419,,
2001,..,Manitoba,Public,Physicians,519125111,451,,
2002,..,Manitoba,Public,Physicians,547100175,473,,
2003,..,Manitoba,Public,Physicians,590349151,507,,
2004,..,Manitoba,Public,Physicians,635116362,541,,
2005,..,Manitoba,Public,Physicians,687077234,583,,
2006,..,Manitoba,Public,Physicians,739578462,625,,
2007,..,Manitoba,Public,Physicians,772096138,649,,
2008,..,Manitoba,Public,Physicians,834574946,697,,
2009,..,Manitoba,Public,Physicians,890997733,737,,
2010,..,Manitoba,Public,Physicians,960823250,787,,
2011,..,Manitoba,Public,Physicians,988739897,801,,
2012,..,Manitoba,Public,Physicians,1043062762,834,,
2013,..,Manitoba,Public,Physicians,1132700170,896,,
2014,..,Manitoba,Public,Physicians,1211607935,947,,
2015,..,Manitoba,Public,Physicians,1270553353,983,,
2016,..,Manitoba,Public,Physicians,1346147707,1024,,
2017,..,Manitoba,Public,Physicians,1340449572,1004,,
2018,..,Manitoba,Public,Physicians,1400718719,1035,,
2019,..,Manitoba,Public,Physicians,1466598251,1071,,
2020,f,Manitoba,Public,Physicians,1465501299,1063,,
2021,f,Manitoba,Public,Physicians,1469394869,1054,,
1975,..,Manitoba,Public,Other Professionals,5818195,6,,
1976,..,Manitoba,Public,Other Professionals,8753821,8,,
1977,..,Manitoba,Public,Other Professionals,10000316,10,,
1978,..,Manitoba,Public,Other Professionals,12322550,12,,
1979,..,Manitoba,Public,Other Professionals,13794216,13,,
1980,..,Manitoba,Public,Other Professionals,16196256,16,,
1981,..,Manitoba,Public,Other Professionals,19110500,18,,
1982,..,Manitoba,Public,Other Professionals,24431970,23,,
1983,..,Manitoba,Public,Other Professionals,27686990,26,,
1984,..,Manitoba,Public,Other Professionals,26988750,25,,
1985,..,Manitoba,Public,Other Professionals,27265250,25,,
1986,..,Manitoba,Public,Other Professionals,28781046,26,,
1987,..,Manitoba,Public,Other Professionals,28957318,26,,
1988,..,Manitoba,Public,Other Professionals,35284738,32,,
1989,..,Manitoba,Public,Other Professionals,39807308,36,,
1990,..,Manitoba,Public,Other Professionals,40675492,37,,
1991,..,Manitoba,Public,Other Professionals,37984342,34,,
1992,..,Manitoba,Public,Other Professionals,48787149,44,,
1993,..,Manitoba,Public,Other Professionals,49730344,44,,
1994,..,Manitoba,Public,Other Professionals,51991890,46,,
1995,..,Manitoba,Public,Other Professionals,58607410,52,,
1996,..,Manitoba,Public,Other Professionals,52907728,47,,
1997,..,Manitoba,Public,Other Professionals,51193383,45,,
1998,..,Manitoba,Public,Other Professionals,50850236,45,,
1999,..,Manitoba,Public,Other Professionals,46660164,41,,
2000,..,Manitoba,Public,Other Professionals,48314448,42,,
2001,..,Manitoba,Public,Other Professionals,51813729,45,,
2002,..,Manitoba,Public,Other Professionals,47693775,41,,
2003,..,Manitoba,Public,Other Professionals,48807886,42,,
2004,..,Manitoba,Public,Other Professionals,52573706,45,,
2005,..,Manitoba,Public,Other Professionals,57545572,49,,
2006,..,Manitoba,Public,Other Professionals,61714348,52,,
2007,..,Manitoba,Public,Other Professionals,65107205,55,,
2008,..,Manitoba,Public,Other Professionals,69338413,58,,
2009,..,Manitoba,Public,Other Professionals,76343982,63,,
2010,..,Manitoba,Public,Other Professionals,81947943,67,,
2011,..,Manitoba,Public,Other Professionals,82034388,66,,
2012,..,Manitoba,Public,Other Professionals,82179642,66,,
2013,..,Manitoba,Public,Other Professionals,86249633,68,,
2014,..,Manitoba,Public,Other Professionals,88726699,69,,
2015,..,Manitoba,Public,Other Professionals,94259383,73,,
2016,..,Manitoba,Public,Other Professionals,99510316,76,,
2017,..,Manitoba,Public,Other Professionals,100677752,75,,
2018,..,Manitoba,Public,Other Professionals,104529984,77,,
2019,..,Manitoba,Public,Other Professionals,110952578,81,,
2020,f,Manitoba,Public,Other Professionals,119959469,87,,
2021,f,Manitoba,Public,Other Professionals,128178379,92,,
1975,..,Manitoba,Public,Drugs,7011991,7,,
1976,..,Manitoba,Public,Drugs,9219029,9,,
1977,..,Manitoba,Public,Drugs,10372500,10,,
1978,..,Manitoba,Public,Drugs,12202500,12,,
1979,..,Manitoba,Public,Drugs,13218750,13,,
1980,..,Manitoba,Public,Drugs,15581500,15,,
1981,..,Manitoba,Public,Drugs,18902000,18,,
1982,..,Manitoba,Public,Drugs,23815250,23,,
1983,..,Manitoba,Public,Drugs,29488750,28,,
1984,..,Manitoba,Public,Drugs,34919500,33,,
1985,..,Manitoba,Public,Drugs,39244500,36,,
1986,..,Manitoba,Public,Drugs,42165145,39,,
1987,..,Manitoba,Public,Drugs,50411265,46,,
1988,..,Manitoba,Public,Drugs,57291090,52,,
1989,..,Manitoba,Public,Drugs,57605028,52,,
1990,..,Manitoba,Public,Drugs,62937252,57,,
1991,..,Manitoba,Public,Drugs,72358927,65,,
1992,..,Manitoba,Public,Drugs,87515843,79,,
1993,..,Manitoba,Public,Drugs,90694918,81,,
1994,..,Manitoba,Public,Drugs,86473537,77,,
1995,..,Manitoba,Public,Drugs,108270184,96,,
1996,..,Manitoba,Public,Drugs,103244939,91,,
1997,..,Manitoba,Public,Drugs,106013800,93,,
1998,..,Manitoba,Public,Drugs,120546314,106,,
1999,..,Manitoba,Public,Drugs,143639658,126,,
2000,..,Manitoba,Public,Drugs,170668285,149,,
2001,..,Manitoba,Public,Drugs,206971704,180,,
2002,..,Manitoba,Public,Drugs,243326361,210,,
2003,..,Manitoba,Public,Drugs,280440381,241,,
2004,..,Manitoba,Public,Drugs,302231026,258,,
2005,..,Manitoba,Public,Drugs,322741124,274,,
2006,..,Manitoba,Public,Drugs,342250813,289,,
2007,..,Manitoba,Public,Drugs,358157287,301,,
2008,..,Manitoba,Public,Drugs,368631468,308,,
2009,..,Manitoba,Public,Drugs,378107393,313,,
2010,..,Manitoba,Public,Drugs,386839962,317,,
2011,..,Manitoba,Public,Drugs,401385061,325,,
2012,..,Manitoba,Public,Drugs,399896312,320,,
2013,..,Manitoba,Public,Drugs,391137853,309,,
2014,..,Manitoba,Public,Drugs,395876398,310,,
2015,..,Manitoba,Public,Drugs,421338043,326,,
2016,..,Manitoba,Public,Drugs,424045487,323,,
2017,..,Manitoba,Public,Drugs,433253732,325,,
2018,..,Manitoba,Public,Drugs,438315233,324,,
2019,..,Manitoba,Public,Drugs,457601766,334,,
2020,f,Manitoba,Public,Drugs,475071146,344,,
2021,f,Manitoba,Public,Drugs,488218733,350,,
1975,..,Manitoba,Public,Public Health,19809006,19,,
1976,..,Manitoba,Public,Public Health,28747146,28,,
1977,..,Manitoba,Public,Public Health,34118053,33,,
1978,..,Manitoba,Public,Public Health,38738351,37,,
1979,..,Manitoba,Public,Public Health,36945192,36,,
1980,..,Manitoba,Public,Public Health,48388115,47,,
1981,..,Manitoba,Public,Public Health,58236746,56,,
1982,..,Manitoba,Public,Public Health,57529568,55,,
1983,..,Manitoba,Public,Public Health,64291446,61,,
1984,..,Manitoba,Public,Public Health,72106542,67,,
1985,..,Manitoba,Public,Public Health,75957220,70,,
1986,..,Manitoba,Public,Public Health,84998008,78,,
1987,..,Manitoba,Public,Public Health,89683380,82,,
1988,..,Manitoba,Public,Public Health,88076730,80,,
1989,..,Manitoba,Public,Public Health,94267048,85,,
1990,..,Manitoba,Public,Public Health,107528606,97,,
1991,..,Manitoba,Public,Public Health,115474255,104,,
1992,..,Manitoba,Public,Public Health,121587063,109,,
1993,..,Manitoba,Public,Public Health,125413802,112,,
1994,..,Manitoba,Public,Public Health,145138307,129,,
1995,..,Manitoba,Public,Public Health,156817763,139,,
1996,..,Manitoba,Public,Public Health,160845854,142,,
1997,..,Manitoba,Public,Public Health,163123022,144,,
1998,..,Manitoba,Public,Public Health,174497172,153,,
1999,..,Manitoba,Public,Public Health,229375132,201,,
2000,..,Manitoba,Public,Public Health,270460205,236,,
2001,..,Manitoba,Public,Public Health,273596384,238,,
2002,..,Manitoba,Public,Public Health,273036315,236,,
2003,..,Manitoba,Public,Public Health,309182723,266,,
2004,..,Manitoba,Public,Public Health,342622588,292,,
2005,..,Manitoba,Public,Public Health,363560218,309,,
2006,..,Manitoba,Public,Public Health,382858257,323,,
2007,..,Manitoba,Public,Public Health,418117548,352,,
2008,..,Manitoba,Public,Public Health,460065866,384,,
2009,..,Manitoba,Public,Public Health,516306552,427,,
2010,..,Manitoba,Public,Public Health,529362756,434,,
2011,..,Manitoba,Public,Public Health,548718094,445,,
2012,..,Manitoba,Public,Public Health,564445457,452,,
2013,..,Manitoba,Public,Public Health,585590616,463,,
2014,..,Manitoba,Public,Public Health,612336984,479,,
2015,..,Manitoba,Public,Public Health,656492283,508,,
2016,..,Manitoba,Public,Public Health,675159459,514,,
2017,..,Manitoba,Public,Public Health,690965734,518,,
2018,..,Manitoba,Public,Public Health,736611983,544,,
2019,..,Manitoba,Public,Public Health,783091581,572,,
2020,f,Manitoba,Public,Public Health,842085096,611,,
2021,f,Manitoba,Public,Public Health,875867719,628,,
1975,..,Manitoba,Public,Administration,11610844,11,,
1976,..,Manitoba,Public,Administration,12908904,13,,
1977,..,Manitoba,Public,Administration,13522892,13,,
1978,..,Manitoba,Public,Administration,13919758,13,,
1979,..,Manitoba,Public,Administration,14268632,14,,
1980,..,Manitoba,Public,Administration,15907481,15,,
1981,..,Manitoba,Public,Administration,17521004,17,,
1982,..,Manitoba,Public,Administration,21574503,21,,
1983,..,Manitoba,Public,Administration,24542390,23,,
1984,..,Manitoba,Public,Administration,28728899,27,,
1985,..,Manitoba,Public,Administration,30942977,29,,
1986,..,Manitoba,Public,Administration,33155821,30,,
1987,..,Manitoba,Public,Administration,33660150,31,,
1988,..,Manitoba,Public,Administration,32711187,30,,
1989,..,Manitoba,Public,Administration,36265793,33,,
1990,..,Manitoba,Public,Administration,46855520,42,,
1991,..,Manitoba,Public,Administration,41305011,37,,
1992,..,Manitoba,Public,Administration,39992632,36,,
1993,..,Manitoba,Public,Administration,46958965,42,,
1994,..,Manitoba,Public,Administration,51799802,46,,
1995,..,Manitoba,Public,Administration,55023186,49,,
1996,..,Manitoba,Public,Administration,55654125,49,,
1997,..,Manitoba,Public,Administration,56631898,50,,
1998,..,Manitoba,Public,Administration,63500067,56,,
1999,..,Manitoba,Public,Administration,93302779,82,,
2000,..,Manitoba,Public,Administration,92630881,81,,
2001,..,Manitoba,Public,Administration,85541495,74,,
2002,..,Manitoba,Public,Administration,89429186,77,,
2003,..,Manitoba,Public,Administration,96386557,83,,
2004,..,Manitoba,Public,Administration,100624875,86,,
2005,..,Manitoba,Public,Administration,112515582,95,,
2006,..,Manitoba,Public,Administration,120255264,102,,
2007,..,Manitoba,Public,Administration,122583474,103,,
2008,..,Manitoba,Public,Administration,113779780,95,,
2009,..,Manitoba,Public,Administration,124075673,103,,
2010,..,Manitoba,Public,Administration,121124867,99,,
2011,..,Manitoba,Public,Administration,124471439,101,,
2012,..,Manitoba,Public,Administration,134283823,107,,
2013,..,Manitoba,Public,Administration,131455220,104,,
2014,..,Manitoba,Public,Administration,128964389,101,,
2015,..,Manitoba,Public,Administration,128197563,99,,
2016,..,Manitoba,Public,Administration,138575136,105,,
2017,..,Manitoba,Public,Administration,161340782,121,,
2018,..,Manitoba,Public,Administration,174289492,129,,
2019,..,Manitoba,Public,Administration,187016175,137,,
2020,f,Manitoba,Public,Administration,219611458,159,,
2021,f,Manitoba,Public,Administration,239498131,172,,
1975,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1976,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1977,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1978,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1979,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1980,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1981,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1982,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1983,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1984,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1985,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1986,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1987,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1988,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1989,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1990,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1991,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1992,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1993,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1994,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1995,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1996,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1997,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1998,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1999,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2000,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2001,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2002,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2003,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2004,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2005,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2006,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2007,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2008,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2009,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2010,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2011,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2012,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2013,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2014,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2015,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2016,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2017,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2018,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2019,..,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2020,f,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
2021,f,Manitoba,Public,Other health spending: Home and community care (HCC),,,,
1975,..,Manitoba,Public,Other Health Spending: Net of HCC,15121810,15,,
1976,..,Manitoba,Public,Other Health Spending: Net of HCC,17994676,17,,
1977,..,Manitoba,Public,Other Health Spending: Net of HCC,21051863,20,,
1978,..,Manitoba,Public,Other Health Spending: Net of HCC,22781286,22,,
1979,..,Manitoba,Public,Other Health Spending: Net of HCC,23432756,23,,
1980,..,Manitoba,Public,Other Health Spending: Net of HCC,27407253,26,,
1981,..,Manitoba,Public,Other Health Spending: Net of HCC,32856500,32,,
1982,..,Manitoba,Public,Other Health Spending: Net of HCC,47102189,45,,
1983,..,Manitoba,Public,Other Health Spending: Net of HCC,56662730,53,,
1984,..,Manitoba,Public,Other Health Spending: Net of HCC,55912000,52,,
1985,..,Manitoba,Public,Other Health Spending: Net of HCC,60171250,56,,
1986,..,Manitoba,Public,Other Health Spending: Net of HCC,69767075,64,,
1987,..,Manitoba,Public,Other Health Spending: Net of HCC,74852027,68,,
1988,..,Manitoba,Public,Other Health Spending: Net of HCC,80463419,73,,
1989,..,Manitoba,Public,Other Health Spending: Net of HCC,109667649,99,,
1990,..,Manitoba,Public,Other Health Spending: Net of HCC,131069656,119,,
1991,..,Manitoba,Public,Other Health Spending: Net of HCC,138388111,125,,
1992,..,Manitoba,Public,Other Health Spending: Net of HCC,137686833,124,,
1993,..,Manitoba,Public,Other Health Spending: Net of HCC,139012272,124,,
1994,..,Manitoba,Public,Other Health Spending: Net of HCC,146669776,131,,
1995,..,Manitoba,Public,Other Health Spending: Net of HCC,163330701,145,,
1996,..,Manitoba,Public,Other Health Spending: Net of HCC,178290883,157,,
1997,..,Manitoba,Public,Other Health Spending: Net of HCC,199367750,175,,
1998,..,Manitoba,Public,Other Health Spending: Net of HCC,216978430,191,,
1999,..,Manitoba,Public,Other Health Spending: Net of HCC,247576580,217,,
2000,..,Manitoba,Public,Other Health Spending: Net of HCC,303295825,264,,
2001,..,Manitoba,Public,Other Health Spending: Net of HCC,319311545,277,,
2002,..,Manitoba,Public,Other Health Spending: Net of HCC,330885582,286,,
2003,..,Manitoba,Public,Other Health Spending: Net of HCC,338824268,291,,
2004,..,Manitoba,Public,Other Health Spending: Net of HCC,361913243,308,,
2005,..,Manitoba,Public,Other Health Spending: Net of HCC,391704767,332,,
2006,..,Manitoba,Public,Other Health Spending: Net of HCC,413750542,350,,
2007,..,Manitoba,Public,Other Health Spending: Net of HCC,458585254,386,,
2008,..,Manitoba,Public,Other Health Spending: Net of HCC,494562684,413,,
2009,..,Manitoba,Public,Other Health Spending: Net of HCC,531586970,440,,
2010,..,Manitoba,Public,Other Health Spending: Net of HCC,550049955,451,,
2011,..,Manitoba,Public,Other Health Spending: Net of HCC,575968861,467,,
2012,..,Manitoba,Public,Other Health Spending: Net of HCC,652241980,522,,
2013,..,Manitoba,Public,Other Health Spending: Net of HCC,694599750,549,,
2014,..,Manitoba,Public,Other Health Spending: Net of HCC,718983759,562,,
2015,..,Manitoba,Public,Other Health Spending: Net of HCC,756436657,585,,
2016,..,Manitoba,Public,Other Health Spending: Net of HCC,803104199,611,,
2017,..,Manitoba,Public,Other Health Spending: Net of HCC,883068294,662,,
2018,..,Manitoba,Public,Other Health Spending: Net of HCC,924481141,683,,
2019,..,Manitoba,Public,Other Health Spending: Net of HCC,979492985,715,,
2020,f,Manitoba,Public,Other Health Spending: Net of HCC,1036042445,751,,
2021,f,Manitoba,Public,Other Health Spending: Net of HCC,1074649055,771,,
1975,..,Manitoba,Public,COVID-19 Response Funding,,,,
1976,..,Manitoba,Public,COVID-19 Response Funding,,,,
1977,..,Manitoba,Public,COVID-19 Response Funding,,,,
1978,..,Manitoba,Public,COVID-19 Response Funding,,,,
1979,..,Manitoba,Public,COVID-19 Response Funding,,,,
1980,..,Manitoba,Public,COVID-19 Response Funding,,,,
1981,..,Manitoba,Public,COVID-19 Response Funding,,,,
1982,..,Manitoba,Public,COVID-19 Response Funding,,,,
1983,..,Manitoba,Public,COVID-19 Response Funding,,,,
1984,..,Manitoba,Public,COVID-19 Response Funding,,,,
1985,..,Manitoba,Public,COVID-19 Response Funding,,,,
1986,..,Manitoba,Public,COVID-19 Response Funding,,,,
1987,..,Manitoba,Public,COVID-19 Response Funding,,,,
1988,..,Manitoba,Public,COVID-19 Response Funding,,,,
1989,..,Manitoba,Public,COVID-19 Response Funding,,,,
1990,..,Manitoba,Public,COVID-19 Response Funding,,,,
1991,..,Manitoba,Public,COVID-19 Response Funding,,,,
1992,..,Manitoba,Public,COVID-19 Response Funding,,,,
1993,..,Manitoba,Public,COVID-19 Response Funding,,,,
1994,..,Manitoba,Public,COVID-19 Response Funding,,,,
1995,..,Manitoba,Public,COVID-19 Response Funding,,,,
1996,..,Manitoba,Public,COVID-19 Response Funding,,,,
1997,..,Manitoba,Public,COVID-19 Response Funding,,,,
1998,..,Manitoba,Public,COVID-19 Response Funding,,,,
1999,..,Manitoba,Public,COVID-19 Response Funding,,,,
2000,..,Manitoba,Public,COVID-19 Response Funding,,,,
2001,..,Manitoba,Public,COVID-19 Response Funding,,,,
2002,..,Manitoba,Public,COVID-19 Response Funding,,,,
2003,..,Manitoba,Public,COVID-19 Response Funding,,,,
2004,..,Manitoba,Public,COVID-19 Response Funding,,,,
2005,..,Manitoba,Public,COVID-19 Response Funding,,,,
2006,..,Manitoba,Public,COVID-19 Response Funding,,,,
2007,..,Manitoba,Public,COVID-19 Response Funding,,,,
2008,..,Manitoba,Public,COVID-19 Response Funding,,,,
2009,..,Manitoba,Public,COVID-19 Response Funding,,,,
2010,..,Manitoba,Public,COVID-19 Response Funding,,,,
2011,..,Manitoba,Public,COVID-19 Response Funding,,,,
2012,..,Manitoba,Public,COVID-19 Response Funding,,,,
2013,..,Manitoba,Public,COVID-19 Response Funding,,,,
2014,..,Manitoba,Public,COVID-19 Response Funding,,,,
2015,..,Manitoba,Public,COVID-19 Response Funding,,,,
2016,..,Manitoba,Public,COVID-19 Response Funding,,,,
2017,..,Manitoba,Public,COVID-19 Response Funding,,,,
2018,..,Manitoba,Public,COVID-19 Response Funding,,,,
2019,..,Manitoba,Public,COVID-19 Response Funding,,,,
2020,f,Manitoba,Public,COVID-19 Response Funding,977673274,709,,
2021,f,Manitoba,Public,COVID-19 Response Funding,1047298356,751,,
1975,..,Manitoba,Public,Sub-Total,418889500,409,,
1976,..,Manitoba,Public,Sub-Total,491113500,476,,
1977,..,Manitoba,Public,Sub-Total,543172500,524,,
1978,..,Manitoba,Public,Sub-Total,578358250,556,,
1979,..,Manitoba,Public,Sub-Total,622294500,600,,
1980,..,Manitoba,Public,Sub-Total,722909750,699,,
1981,..,Manitoba,Public,Sub-Total,854538750,825,,
1982,..,Manitoba,Public,Sub-Total,992290980,949,,
1983,..,Manitoba,Public,Sub-Total,1107459910,1045,,
1984,..,Manitoba,Public,Sub-Total,1195208250,1115,,
1985,..,Manitoba,Public,Sub-Total,1276583500,1179,,
1986,..,Manitoba,Public,Sub-Total,1378164710,1263,,
1987,..,Manitoba,Public,Sub-Total,1478950691,1346,,
1988,..,Manitoba,Public,Sub-Total,1575378890,1429,,
1989,..,Manitoba,Public,Sub-Total,1705338971,1545,,
1990,..,Manitoba,Public,Sub-Total,1839622960,1664,,
1991,..,Manitoba,Public,Sub-Total,1892984343,1706,,
1992,..,Manitoba,Public,Sub-Total,2002128226,1799,,
1993,..,Manitoba,Public,Sub-Total,2015127935,1803,,
1994,..,Manitoba,Public,Sub-Total,2052376900,1827,,
1995,..,Manitoba,Public,Sub-Total,2120690521,1878,,
1996,..,Manitoba,Public,Sub-Total,2129002363,1877,,
1997,..,Manitoba,Public,Sub-Total,2178637485,1918,,
1998,..,Manitoba,Public,Sub-Total,2319657890,2039,,
1999,..,Manitoba,Public,Sub-Total,2581681196,2260,,
2000,..,Manitoba,Public,Sub-Total,2858147412,2491,,
2001,..,Manitoba,Public,Sub-Total,3063260436,2660,,
2002,..,Manitoba,Public,Sub-Total,3247619495,2808,,
2003,..,Manitoba,Public,Sub-Total,3474956177,2986,,
2004,..,Manitoba,Public,Sub-Total,3713525228,3165,,
2005,..,Manitoba,Public,Sub-Total,3968483015,3368,,
2006,..,Manitoba,Public,Sub-Total,4221980455,3567,,
2007,..,Manitoba,Public,Sub-Total,4529406077,3808,,
2008,..,Manitoba,Public,Sub-Total,4896512679,4088,,
2009,..,Manitoba,Public,Sub-Total,5239903377,4336,,
2010,..,Manitoba,Public,Sub-Total,5474052767,4484,,
2011,..,Manitoba,Public,Sub-Total,5674312800,4600,,
2012,..,Manitoba,Public,Sub-Total,5929139339,4743,,
2013,..,Manitoba,Public,Sub-Total,6164658560,4875,,
2014,..,Manitoba,Public,Sub-Total,6345539548,4961,,
2015,..,Manitoba,Public,Sub-Total,6652936683,5148,,
2016,..,Manitoba,Public,Sub-Total,6906211537,5255,,
